Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I0_C50_PM,0,0.5,11,86,0.000546234,-0.010094761,1.550506532,1.836644637,0.002155467,0.051154655,1.53598784,0
BUS_DIESEL_EURO2_I0_C50_PM,0,0.5,11,86,1.86821E-05,0.006504397,0.563592329,2.818354853,-0.000451049,0.133144751,1.264480857,0
BUS_DIESEL_EURO3_I0_C50_PM,0,0.5,11,86,-9.49544E-06,0.006404975,0.740307999,3.422564395,-0.000527748,0.163394606,1.53809792,0
BUS_DIESEL_EURO4_I0_C50_PM,0,0.5,11,86,1.20776E-15,1.65813E-14,0.895448931,2.37629E-11,-0.00297923,0.573992238,5.954539808,0
BUS_DIESEL_EURO5_I0_C50_PM,0,0.5,10,85,0.0059689,0.325457602,-0.963548707,1.237491707,0.335407084,-0.640487161,1.471091985,0
BUS_DIESEL_EURO6_I0_C50_PM,0,0.5,10,85,7.71995E-06,-0.000391048,-0.006566619,0.573223655,0.003274204,-0.270774685,6.749392277,0
