Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I0_C100_NOx,0,1,12,86,0.002621057,0.036042161,7.665409132,11.15153315,0.000414315,0.021084779,0.382562251,0
PL1420_DIESEL_EURO2_I0_C100_NOx,0,1,12,86,0.001595249,0.130306781,9.342319369,12.96328566,0.000238935,0.037863493,0.327838891,0
PL1420_DIESEL_EURO3_I0_C100_NOx,0,1,12,86,0.003290056,0.311282478,6.905827286,4.222186158,0.001063687,0.052402647,0.092131239,0
PL1420_DIESEL_EURO4_I0_C100_NOx,0,1,12,86,0.00190925,0.201683883,4.280735907,3.130104974,0.000837321,0.050614406,0.185122169,0
PL1420_DIESEL_EURO5_I0_C100_NOx,0,1,5,85,-0.034936359,4.027017661,3.796523013,3.430136827,0.013202032,0.126920968,2.65247E-11,0
PL1420_DIESEL_EURO6_I0_C100_NOx,0,1,5,85,-0.000222236,0.078215324,-0.517773749,1.949589558,0.00592523,-0.038852471,0.087035659,0
