Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I6_C50_NOx,0.06,0.5,11,59,0.003144883,0.385204253,0.50263988,-5.429356669,0.000196129,0.017232478,-0.061158916,0
BUS_DIESEL_EURO2_I6_C50_NOx,0.06,0.5,11,54,0.003446033,-0.098577171,0.425961697,10.15338546,0.000188134,-0.006724013,0.072421157,0
BUS_DIESEL_EURO3_I6_C50_NOx,0.06,0.5,11,62,0.001780661,0.068209562,0.756286999,5.900308717,0.000116182,0.004321206,0.007789088,0
BUS_DIESEL_EURO4_I6_C50_NOx,0.06,0.5,11,65,0.002299454,0.365166075,0.141626758,-18.29597232,0.000382992,0.025740179,-0.192221601,0
BUS_DIESEL_EURO5_I6_C50_NOx,0.06,0.5,5,60,0.003889353,-0.004025862,0.329378496,6.247520632,0.001053712,0.000131032,0.042697891,0
BUS_DIESEL_EURO6_I6_C50_NOx,0.06,0.5,5,65,0.006923375,-0.170011352,1.951785846,-5.203219592,0.009701452,-0.033553376,-2.28538E-15,0
