Type,Ratio
LV_P,0.3515
LV_D,0.6485
LCV_P,0.1935
LCV_D,0.8065
HDT_1420,0.263
HDT_32,0.737
LV_EURO1,0.057
LV_EURO2,0.089
LV_EURO3,0.184
LV_EURO4,0.38
LV_EURO5,0.28
LV_EURO6,0.01
LCV_EURO1,0.076
LCV_EURO2,0.123
LCV_EURO3,0.234
LCV_EURO4,0.298
LCV_EURO5,0.269
LCV_EURO6,0.000
HDT_EURO1,0.0039
HDT_EURO2,0.0744
HDT_EURO3,0.2338
HDT_EURO4,0.2109
HDT_EURO5,0.3203
HDT_EURO6,0.1567
L_EURO1,0.084
L_EURO2,0.334
L_EURO3,0.543
L_EURO4,0.039
L_EURO5,0
L_EURO6,0
