Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I-2_C0_PM,-0.02,0,12,86,0.0005111,-0.000570354,3.45691913,0.150942915,0.002773923,0.231124753,0.210499471,0
PL32_DIESEL_EURO2_I-2_C0_PM,-0.02,0,12,86,2.95991E-05,0.02223276,0.859051163,2.942731483,0.004901659,0.234497715,1.000951491,0
PL32_DIESEL_EURO3_I-2_C0_PM,-0.02,0,12,86,6.87387E-16,4.42249E-14,2.169578641,-3.8759E-10,-0.001287641,0.360831851,-0.06584906,0
PL32_DIESEL_EURO4_I-2_C0_PM,-0.02,0,12,86,-9.71387E-06,0.033621422,1.641240059,-2.657370718,0.040966309,1.680158621,0.834833696,0
PL32_DIESEL_EURO5_I-2_C0_PM,-0.02,0,10,85,-0.000921806,0.358429778,-1.738986899,2.657880457,0.306901441,-1.591559761,3.107729178,0
PL32_DIESEL_EURO6_I-2_C0_PM,-0.02,0,10,85,4.03944E-05,-0.011510332,0.772719395,0.131661955,-0.062852686,5.794164818,0.709015133,0
