Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I0_C0_NOx,0,0,12,86,1.04E-04,0.05434866,4.890947571,24.1197185,-7.27455E-05,0.022921774,0.228221709,0
PL32_DIESEL_EURO2_I0_C0_NOx,0,0,12,86,5.09E-05,0.033412422,3.039138403,14.70029452,-3.95761E-05,0.012665295,0.126141925,0
PL32_DIESEL_EURO3_I0_C0_NOx,0,0,12,86,0.001074663,0.044437873,3.347151086,14.02786076,0.000184946,0.015147522,0.143543315,0
PL32_DIESEL_EURO4_I0_C0_NOx,0,0,12,86,9.39522E-05,0.04424854,3.700876845,17.42105312,-9.57536E-05,0.029521947,0.30455183,0
PL32_DIESEL_EURO5_I0_C0_NOx,0,0,5,85,-2.91E-04,0.008399409,1.866728895,3.364503816,-5.63867E-05,0.008594624,0.043600368,0
PL32_DIESEL_EURO6_I0_C0_NOx,0,0,5,85,-0.000727738,0.084387894,-0.659223671,1.901808283,0.001992879,-0.014722854,0.036337295,0
