Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I6_C0_PM,0.06,0,12,86,2.99853E-05,0.003317463,0.333324764,4.233201889,-0.000131656,0.029628509,0.635501552,0
PL1420_DIESEL_EURO2_I6_C0_PM,0.06,0,12,86,3.53008E-05,0.055513042,1.571645882,1.700703949,0.001387767,0.279541753,3.65710077,0
PL1420_DIESEL_EURO3_I6_C0_PM,0.06,0,12,86,-2.51411E-05,0.020241793,2.069732928,9.165054701,-0.001162082,0.366834851,3.822653754,0
PL1420_DIESEL_EURO4_I6_C0_PM,0.06,0,12,86,-0.000277477,0.027295614,-0.017133073,-1.628976365,-0.004308057,0.490925732,-3.679172727,0
PL1420_DIESEL_EURO5_I6_C0_PM,0.06,0,10,85,-0.001430923,0.114405308,1.477680282,-1.423268357,-0.020932669,2.029876485,1.77776E-12,0
PL1420_DIESEL_EURO6_I6_C0_PM,0.06,0,10,85,-3.14029E-05,0.000804145,0.198734733,0.49598739,-0.013755144,1.231609122,5.484929236,0
