Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I4_C50_PM,0.04,0.5,12,85,5.09019E-05,0.007037135,0.615686385,4.639918858,-0.000233754,0.05643166,0.754474738,0
PL1420_DIESEL_EURO2_I4_C50_PM,0.04,0.5,12,86,0.00034474,0.064266157,1.227758823,1.301792003,0.003256391,0.276774098,2.354359182,0
PL1420_DIESEL_EURO3_I4_C50_PM,0.04,0.5,12,86,-9.51906E-19,2.39183E-16,2.033022984,-9.80228E-14,-0.002315039,0.329566206,1.585985816,0
PL1420_DIESEL_EURO4_I4_C50_PM,0.04,0.5,12,86,-0.000403207,0.03327625,0.762222037,-3.067632109,-0.007199356,0.791833847,1.095492982,0
PL1420_DIESEL_EURO5_I4_C50_PM,0.04,0.5,10,85,-0.001384606,0.11170908,1.573707769,-1.5390853,-0.020042699,2.007968984,3.06606E-12,0
PL1420_DIESEL_EURO6_I4_C50_PM,0.04,0.5,10,85,-1.02223E-05,0.000642903,0.133404611,0.549606026,-0.005793129,0.752850059,5.704062779,0
