Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I2_C50_NOx,0.02,0.5,12,86,0.009111928,-0.02216209,5.711224735,13.14344394,0.000889834,0.002572463,0.331826149,0
PL1420_DIESEL_EURO2_I2_C50_NOx,0.02,0.5,12,86,3.47434E-05,0.025055834,1.444838968,16.63984121,2.86492E-06,0.002676792,0.14426142,0
PL1420_DIESEL_EURO3_I2_C50_NOx,0.02,0.5,12,86,0.010849069,1.826036099,11.94017306,3.007804738,0.001899147,0.223527168,-0.602506533,0
PL1420_DIESEL_EURO4_I2_C50_NOx,0.02,0.5,12,86,0.002356849,0.446644781,1.832203239,11.67628155,0.000555626,0.071305052,-0.033514986,0
PL1420_DIESEL_EURO5_I2_C50_NOx,0.02,0.5,5,85,0.000215356,-0.019441303,0.612897299,2.458088295,3.84197E-05,-0.000202189,0.036672997,0
PL1420_DIESEL_EURO6_I2_C50_NOx,0.02,0.5,5,85,0.001974162,0.145731762,-0.76001223,5.676698965,0.02270168,-0.136811579,0.309050833,0
