Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I6_C100_PM,0.06,1,11,45,0.000859176,-0.076906191,2.181877485,-1.692439827,0.000398968,-0.03808574,1.486669558,0
BUS_DIESEL_EURO2_I6_C100_PM,0.06,1,10,52,0.00078819,-0.085572469,2.940470602,-0.197167379,0.000214826,-0.033248033,3.091726589,0
BUS_DIESEL_EURO3_I6_C100_PM,0.06,1,11,54,0.000601015,-0.06353385,3.263927001,-0.000106866,3.03046E-06,-0.004154344,5.357591335,0
BUS_DIESEL_EURO4_I6_C100_PM,0.06,1,11,55,0.000336133,-0.032074854,1.096491798,0.113526888,0.000496976,0.023814807,4.192378381,0
BUS_DIESEL_EURO5_I6_C100_PM,0.06,1,10,55,0.002653858,0.315917962,-1.813373817,1.324748286,0.147576448,-0.690180362,-1.32337E-06,0
BUS_DIESEL_EURO6_I6_C100_PM,0.06,1,10,55,-0.000216539,0.018824529,0.197369029,0.114987093,-0.004665786,2.469680442,0.460297818,0
