x,y,z,Cmoy
-60.0,-60.0,12.0,21.790031523757953
-56.0,-60.0,12.0,21.758332162534547
-52.0,-60.0,12.0,21.73215038652
-48.0,-60.0,12.0,21.707431673629547
-44.0,-60.0,12.0,21.684297774532272
-40.0,-60.0,12.0,21.6635298444775
-36.0,-60.0,12.0,21.64183380915659
-32.0,-60.0,12.0,21.62526942992659
-28.0,-60.0,12.0,21.610979961297044
-24.0,-60.0,12.0,21.594745776796817
-20.0,-60.0,12.0,21.583025943406135
-16.0,-60.0,12.0,21.570251660750227
-12.0,-60.0,12.0,21.578825357116365
-8.0,-60.0,12.0,21.572540447037046
-4.0,-60.0,12.0,21.536215011357612
0.0,-60.0,12.0,21.522771357369546
4.0,-60.0,12.0,21.509348663847387
8.0,-60.0,12.0,21.519923735415
12.0,-60.0,12.0,21.508415044048864
16.0,-60.0,12.0,21.474938415836817
20.0,-60.0,12.0,21.464315943421592
24.0,-60.0,12.0,21.455413043376932
28.0,-60.0,12.0,21.447135198744657
32.0,-60.0,12.0,21.437542490774774
36.0,-60.0,12.0,21.427731185031817
40.0,-60.0,12.0,21.417422736089545
-60.0,-56.0,12.0,21.84081566271341
-56.0,-56.0,12.0,21.805048523446363
-52.0,-56.0,12.0,21.776774900400227
-48.0,-56.0,12.0,21.74467496726477
-44.0,-56.0,12.0,21.720304693745
-40.0,-56.0,12.0,21.697054133615
-36.0,-56.0,12.0,21.67430791191591
-32.0,-56.0,12.0,21.655771904985908
-28.0,-56.0,12.0,21.6377371460075
-24.0,-56.0,12.0,21.62070929662
-20.0,-56.0,12.0,21.60576637086
-16.0,-56.0,12.0,21.593277823485455
-12.0,-56.0,12.0,21.582034931212956
-8.0,-56.0,12.0,21.593713692168862
-4.0,-56.0,12.0,21.582219756293636
0.0,-56.0,12.0,21.569147760697728
4.0,-56.0,12.0,21.55354746027159
8.0,-56.0,12.0,21.540466930661477
12.0,-56.0,12.0,21.504916718452044
16.0,-56.0,12.0,21.492768363851592
20.0,-56.0,12.0,21.482677620876817
24.0,-56.0,12.0,21.473485364332273
28.0,-56.0,12.0,21.464280475414316
32.0,-56.0,12.0,21.45322515635091
36.0,-56.0,12.0,21.44592902031443
40.0,-56.0,12.0,21.43613674847034
-60.0,-52.0,12.0,21.896647269811364
-56.0,-52.0,12.0,21.859833311932956
-52.0,-52.0,12.0,21.824553481654316
-48.0,-52.0,12.0,21.78949803516023
