Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I4_C100_PM,0.04,1,12,74,7.18055E-05,0.033132352,1.811858167,5.516068865,-0.000501649,0.137943386,1.621081929,0
PL1420_DIESEL_EURO2_I4_C100_PM,0.04,1,12,77,-0.000207799,-0.010378873,2.517502902,-2.740046956,-0.002107687,0.13993995,3.991050673,0
PL1420_DIESEL_EURO3_I4_C100_PM,0.04,1,12,79,0.000572887,0.123764861,1.001662426,-3.106533283,0.00642595,0.577392983,-2.050688394,0
PL1420_DIESEL_EURO4_I4_C100_PM,0.04,1,12,81,-0.000293932,0.011893697,1.595532801,-2.982046116,-0.006266413,0.61862279,7.420396432,0
PL1420_DIESEL_EURO5_I4_C100_PM,0.04,1,10,80,-0.001411046,0.126456495,1.371384827,-1.184490872,-0.011110146,1.766614044,1.09445E-11,0
PL1420_DIESEL_EURO6_I4_C100_PM,0.04,1,10,80,0.000373735,0.026866669,0.212209265,-0.000524625,0.133244513,1.897595975,0.319033594,0
