Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I-6_C100_NOx,-0.06,1,11,86,-0.000557698,0.029354608,2.439290998,2.575004817,0.000401233,0.023090711,0.079473539,0
BUS_DIESEL_EURO2_I-6_C100_NOx,-0.06,1,11,86,-0.000640552,0.03773955,2.625556817,2.870646211,0.000436337,0.022855351,0.07307128,0
BUS_DIESEL_EURO3_I-6_C100_NOx,-0.06,1,11,86,-0.000287486,-0.018600286,4.209520738,-1.566059283,0.000223913,0.032798924,0.022407059,0
BUS_DIESEL_EURO4_I-6_C100_NOx,-0.06,1,11,82,-0.002194889,0.194841319,-1.123702418,-5.921833454,0.002226375,0.015045369,-0.369302823,0
BUS_DIESEL_EURO5_I-6_C100_NOx,-0.06,1,5,80,-0.001853636,0.167967139,-1.144069385,3.065897399,0.001813419,-0.014116909,0.042753559,0
BUS_DIESEL_EURO6_I-6_C100_NOx,-0.06,1,5,75,-0.000689423,0.038313405,1.306939453,-4.736952885,0.000263222,0.055560337,-0.187936815,0
