Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I0_C100_PM,0,1,11,86,0.000371942,-0.000190091,-0.234905054,4.129552699,0.002146431,-0.069921731,0.757435958,0
BUS_DIESEL_EURO2_I0_C100_PM,0,1,11,86,2.05067E-17,-4.40524E-16,1.522849163,5.18561E-13,-0.00165809,0.231774207,1.85945601,0
BUS_DIESEL_EURO3_I0_C100_PM,0,1,11,86,0.000200403,-0.008162055,0.165041384,2.266377237,0.001633669,-0.064347322,1.419325784,0
BUS_DIESEL_EURO4_I0_C100_PM,0,1,11,86,5.29414E-15,3.12932E-13,0.410976447,8.68012E-11,-0.001064174,0.242920302,2.388854526,0
BUS_DIESEL_EURO5_I0_C100_PM,0,1,10,85,0.00659474,0.445975943,-1.457758577,1.708810528,0.406027459,-0.859915427,1.468225088,0
BUS_DIESEL_EURO6_I0_C100_PM,0,1,10,85,6.84551E-05,0.001297508,-0.090732165,0.964833288,0.039018347,-1.251478117,11.00387657,0
