Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I0_C100_NOx,0,1,11,86,-1.56019E-05,0.041289472,4.36149583,30.33459902,1.0728E-05,0.010234981,0.327408327,0
BUS_DIESEL_EURO2_I0_C100_NOx,0,1,11,86,-8.96364E-05,-0.012183067,2.051014067,23.48987418,-3.42485E-05,0.001715804,0.198940786,0
BUS_DIESEL_EURO3_I0_C100_NOx,0,1,11,86,0.000588125,0.252190095,4.010607982,-13.75960498,0.000499234,0.031095352,-0.116724962,0
BUS_DIESEL_EURO4_I0_C100_NOx,0,1,11,86,-0.000263999,0.228896087,7.420946497,11.99220231,0.000387684,0.0499921,0.485173288,0
BUS_DIESEL_EURO5_I0_C100_NOx,0,1,5,85,0.000953218,-0.149419914,6.968745026,11.98880299,-0.000219226,0.023188049,0.231812632,0
BUS_DIESEL_EURO6_I0_C100_NOx,0,1,5,85,-0.000196382,0.045500528,-0.675039746,3.222013146,0.002705368,-0.024435524,0.085209616,0
