Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I6_C50_PM,0.06,0.5,12,70,0.000245396,0.024713892,0.412485069,4.557926219,0.000283822,0.06052693,0.610403572,0
PL1420_DIESEL_EURO2_I6_C50_PM,0.06,0.5,12,74,8.74899E-05,0.060497687,1.584767609,1.815797697,0.001591641,0.250651328,2.830002718,0
PL1420_DIESEL_EURO3_I6_C50_PM,0.06,0.5,12,73,0.001139812,0.051912482,0.764107024,2.798317453,0.007287108,0.23420468,0.643303027,0
PL1420_DIESEL_EURO4_I6_C50_PM,0.06,0.5,12,77,-0.000130529,0.001558096,1.085605421,-0.697658083,-0.002306923,0.225596109,7.258634521,0
PL1420_DIESEL_EURO5_I6_C50_PM,0.06,0.5,10,80,-0.001881288,0.167388571,1.435552931,-1.123665393,-0.011517499,1.93904399,6.39589E-11,0
PL1420_DIESEL_EURO6_I6_C50_PM,0.06,0.5,10,80,-3.79706E-05,0.001435483,0.168730835,0.423643841,-0.011752222,1.002149927,4.658456739,0
