Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I-6_C50_NOx,-0.06,0.5,12,86,0.000115285,-0.037755072,3.610526058,2.141379468,0.000416195,0.036065441,0.107798161,0
PL1420_DIESEL_EURO2_I-6_C50_NOx,-0.06,0.5,12,86,4.70012E-05,-0.014037525,1.312483984,1.804340897,0.000126599,0.011939134,0.050515833,0
PL1420_DIESEL_EURO3_I-6_C50_NOx,-0.06,0.5,12,86,8.70535E-05,-0.012745758,1.10837297,3.762969085,0.000188152,0.010197566,0.060541053,0
PL1420_DIESEL_EURO4_I-6_C50_NOx,-0.06,0.5,12,86,0.000039632,-0.007965937,0.408898775,3.028129402,0.000186986,0.00331547,0.137155801,0
PL1420_DIESEL_EURO5_I-6_C50_NOx,-0.06,0.5,5,75,-0.00078022,0.071738007,-0.856166308,4.857002078,0.001034501,-0.014817543,0.077814852,0
PL1420_DIESEL_EURO6_I-6_C50_NOx,-0.06,0.5,5,75,-0.000475149,0.045555316,-0.619206944,3.345472235,0.000773967,-0.012402241,0.080625235,0
