x,y,z,Cmoy
-60.0,-60.0,1.5,31.057598043733336
-56.0,-60.0,1.5,30.777447695483534
-52.0,-60.0,1.5,30.52516704655345
-48.0,-60.0,1.5,30.304041814164847
-44.0,-60.0,1.5,30.075730741372357
-40.0,-60.0,1.5,29.872077548488075
-36.0,-60.0,1.5,29.65808981188124
-32.0,-60.0,1.5,29.46518341881843
-28.0,-60.0,1.5,29.28753599130022
-24.0,-60.0,1.5,29.096254558540302
-20.0,-60.0,1.5,28.923188996113897
-16.0,-60.0,1.5,28.716858992676684
-12.0,-60.0,1.5,28.4998708245609
-8.0,-60.0,1.5,28.2165834998117
8.0,-60.0,1.5,28.058660633562155
12.0,-60.0,1.5,27.98314315522456
16.0,-60.0,1.5,27.88556129169763
20.0,-60.0,1.5,27.762233939094163
24.0,-60.0,1.5,27.686047384134774
28.0,-60.0,1.5,27.6239767166336
32.0,-60.0,1.5,27.582605560218724
36.0,-60.0,1.5,27.423934201075113
40.0,-60.0,1.5,27.221713047081046
-60.0,-56.0,1.5,31.50927810549589
-56.0,-56.0,1.5,31.201409494657106
-52.0,-56.0,1.5,30.941978203507595
-48.0,-56.0,1.5,30.668240005856447
-44.0,-56.0,1.5,30.45494230214011
-40.0,-56.0,1.5,30.226193726588573
-36.0,-56.0,1.5,30.00198596557814
-32.0,-56.0,1.5,29.802912211951416
-28.0,-56.0,1.5,29.595329812106634
-24.0,-56.0,1.5,29.394500834823525
-20.0,-56.0,1.5,29.184307387778702
-16.0,-56.0,1.5,28.994846343282017
-12.0,-56.0,1.5,28.759943648255927
-8.0,-56.0,1.5,28.50877769548032
-4.0,-56.0,1.5,28.345269811514328
0.0,-56.0,1.5,28.2550537133709
4.0,-56.0,1.5,28.125013343420772
8.0,-56.0,1.5,28.131305239859035
12.0,-56.0,1.5,28.109131751584297
16.0,-56.0,1.5,28.053875530593185
20.0,-56.0,1.5,27.967055651660885
24.0,-56.0,1.5,27.905545936492846
28.0,-56.0,1.5,27.85906906446479
32.0,-56.0,1.5,27.788405415915307
36.0,-56.0,1.5,27.60648303954267
40.0,-56.0,1.5,27.349018429286154
-60.0,-52.0,1.5,31.99495342185086
-56.0,-52.0,1.5,31.680703795836592
-52.0,-52.0,1.5,31.393579206790207
-48.0,-52.0,1.5,31.09436607376074
-44.0,-52.0,1.5,30.844059899157543
-40.0,-52.0,1.5,30.591368889535808
-36.0,-52.0,1.5,30.371687656247996
-32.0,-52.0,1.5,30.15167417859157
-28.0,-52.0,1.5,29.903866216629844
-24.0,-52.0,1.5,29.70158267429322
-20.0,-52.0,1.5,29.495185280254248
-16.0,-52.0,1.5,29.29110475105652
-12.0,-52.0,1.5,29.0745496617295
-8.0,-52.0,1.5,28.848521910447616
