Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I6_C0_NOx,0.06,0,12,80,0.001116219,0.250689416,1.200349044,6.308427351,5.98982E-05,0.011870821,0.018636934,0
PL32_DIESEL_EURO2_I6_C0_NOx,0.06,0,12,83,0.007301983,1.083107071,3.128776937,-7.778072473,0.000411901,0.049747477,-0.131928108,0
PL32_DIESEL_EURO3_I6_C0_NOx,0.06,0,12,84,-0.000150505,0.225774036,11.16752779,24.04897677,-7.21147E-05,0.023790036,0.347316865,0
PL32_DIESEL_EURO4_I6_C0_NOx,0.06,0,12,86,0.002651608,1.333179278,31.71153692,22.56977965,0.00052893,0.112871807,1.598688129,0
PL32_DIESEL_EURO5_I6_C0_NOx,0.06,0,5,85,0.001304246,-0.049767153,1.396124995,1.927052309,0.000217732,0.001273588,0.02729515,0
PL32_DIESEL_EURO6_I6_C0_NOx,0.06,0,5,85,0.00089058,0.087049838,-0.830205379,3.51743645,0.006795259,-0.03709442,0.083057247,0
