Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I6_C0_PM,0.06,0,12,80,-2.389E-06,0.00018314,0.041310509,4.888645655,1.49629E-05,-0.005000066,0.454459675,0
PL32_DIESEL_EURO2_I6_C0_PM,0.06,0,12,83,-2.66131E-05,0.000249579,0.548853118,3.031313034,-0.000176081,0.017769046,1.373244779,0
PL32_DIESEL_EURO3_I6_C0_PM,0.06,0,12,84,4.24847E-05,0.019130997,0.320770368,2.8313065,0.000315805,0.097897956,0.211091007,0
PL32_DIESEL_EURO4_I6_C0_PM,0.06,0,12,86,-0.000475257,0.042553427,0.426744914,-3.030451409,-0.004924313,0.580783597,-1.427969443,0
PL32_DIESEL_EURO5_I6_C0_PM,0.06,0,10,85,-0.001185417,0.102530562,1.58762846,-1.253971154,-0.009035381,1.203803147,0.863840413,0
PL32_DIESEL_EURO6_I6_C0_PM,0.06,0,10,85,5.5285E-05,0.003046042,0.071820791,0.554227318,0.013639917,0.238236173,3.873205862,0
