Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I-2_C100_NOx,-0.02,1,11,86,-0.000127835,-0.006305865,1.641070322,-13.56579539,-0.000110062,0.011004737,-0.080876595,0
BUS_DIESEL_EURO2_I-2_C100_NOx,-0.02,1,11,86,-9.64272E-05,-0.008722807,1.620536606,-13.35782653,-9.67015E-05,0.009600232,-0.071402966,0
BUS_DIESEL_EURO3_I-2_C100_NOx,-0.02,1,11,86,-0.000807712,0.10790003,6.566827208,10.37683732,0.000538989,0.034448117,0.13967249,0
BUS_DIESEL_EURO4_I-2_C100_NOx,-0.02,1,11,85,-0.000174762,-0.009344834,2.269150043,-18.11042208,-0.000265113,0.026236778,-0.18323576,0
BUS_DIESEL_EURO5_I-2_C100_NOx,-0.02,1,5,85,0.000185701,-0.081376884,5.609315204,9.267448851,-0.000306617,0.025655801,0.220579405,0
BUS_DIESEL_EURO6_I-2_C100_NOx,-0.02,1,5,85,5.73612E-05,0.028225828,-0.415733025,1.788295757,0.001386335,-0.016282941,0.059813516,0
