x,y,z,Cmax
-60,-60,7,7.261132444181818e-05
-56,-60,7,6.981344259272727e-05
-52,-60,7,6.757398416818182e-05
-48,-60,7,6.543281629636363e-05
-44,-60,7,6.335616594727271e-05
-40,-60,7,6.152710052454544e-05
-36,-60,7,5.956925621636363e-05
-32,-60,7,5.8022080560000004e-05
-28,-60,7,5.667953305181817e-05
-24,-60,7,5.508659752272727e-05
-20,-60,7,5.391112114999999e-05
-16,-60,7,5.26177949290909e-05
-12,-60,7,5.1608815190909084e-05
-8,-60,7,5.17479055490909e-05
-4,-60,7,5.0748276061818176e-05
0,-60,7,4.922122934545454e-05
4,-60,7,4.810295673181819e-05
8,-60,7,4.772318808454546e-05
12,-60,7,4.5415053913636364e-05
16,-60,7,4.4255829461818175e-05
20,-60,7,4.335641619636363e-05
24,-60,7,4.2610370565e-05
28,-60,7,4.2035872104545453e-05
32,-60,7,4.130872468863636e-05
36,-60,7,4.0306256192727274e-05
40,-60,7,3.916083985272727e-05
-60,-56,7,7.700123844545455e-05
-56,-56,7,7.388283641363634e-05
-52,-56,7,7.147011734999999e-05
-48,-56,7,6.869918399090908e-05
-44,-56,7,6.659000402272727e-05
-40,-56,7,6.454305045999998e-05
-36,-56,7,6.249438061272726e-05
-32,-56,7,6.079351886454545e-05
-28,-56,7,5.908284593181818e-05
-24,-56,7,5.744869320545453e-05
-20,-56,7,5.600087139090908e-05
-16,-56,7,5.467041812272727e-05
-12,-56,7,5.343891780636364e-05
-8,-56,7,5.341950380363635e-05
-4,-56,7,5.260033947909089e-05
0,-56,7,5.1984575684545453e-05
4,-56,7,5.031422186818181e-05
8,-56,7,4.915839601636363e-05
12,-56,7,4.684695551e-05
16,-56,7,4.5785751027272717e-05
20,-56,7,4.494347620318181e-05
24,-56,7,4.4227450619090905e-05
28,-56,7,4.356528994045454e-05
32,-56,7,4.2677646195e-05
36,-56,7,4.1898595893181815e-05
40,-56,7,4.068504753227273e-05
-60,-52,7,8.172136533181818e-05
-56,-52,7,7.859894506363637e-05
-52,-52,7,7.562765078636363e-05
-48,-52,7,7.262117196818181e-05
-44,-52,7,7.041660748636362e-05
-40,-52,7,6.787283713181817e-05
-36,-52,7,6.578996095454546e-05
-32,-52,7,6.386595963636363e-05
-28,-52,7,6.172755383090907e-05
-24,-52,7,6.019413585272727e-05
-20,-52,7,5.8391997580909084e-05
-16,-52,7,5.6928702848181824e-05
-12,-52,7,5.558002102272727e-05
-8,-52,7,5.4177500802727264e-05
-4,-52,7,5.337267291090908e-05
0,-52,7,5.3230500899999996e-05
4,-52,7,5.20741694090909e-05
8,-52,7,4.9715505417272725e-05
12,-52,7,4.864319415181817e-05
16,-52,7,4.7537794322727265e-05
20,-52,7,4.646597269727273e-05
24,-52,7,4.576659412045454e-05
28,-52,7,4.5191034265454536e-05
32,-52,7,4.4232134997727264e-05
36,-52,7,4.3213954559545456e-05
40,-52,7,4.2048542856363636e-05
-60,-48,7,8.712166254090908e-05
-56,-48,7,8.381986350454545e-05
-52,-48,7,8.044712924090908e-05
-48,-48,7,7.695171797272727e-05
-44,-48,7,7.442995291818181e-05
-40,-48,7,7.151115308181818e-05
-36,-48,7,6.928274196363636e-05
-32,-48,7,6.713739246363636e-05
-28,-48,7,6.492069956363636e-05
-24,-48,7,6.304454980454545e-05
-20,-48,7,6.108402540090908e-05
-16,-48,7,5.9381191069999984e-05
-12,-48,7,5.810375336454545e-05
-8,-48,7,5.643108500636363e-05
-4,-48,7,5.515953941636363e-05
0,-48,7,5.3877626995454545e-05
4,-48,7,5.2667532079999996e-05
8,-48,7,5.161550882272727e-05
12,-48,7,5.03384544290909e-05
16,-48,7,4.9120904304545455e-05
20,-48,7,4.818751502363635e-05
24,-48,7,4.744552718727272e-05
28,-48,7,4.674792563499999e-05
32,-48,7,4.576608252590908e-05
36,-48,7,4.474064946909091e-05
40,-48,7,4.3771036938181814e-05
-60,-44,7,9.305082923636363e-05
-56,-44,7,8.958902048181817e-05
-52,-44,7,8.563823198636363e-05
-48,-44,7,8.217254435454546e-05
-44,-44,7,7.915236438181818e-05
-40,-44,7,7.609609615454545e-05
-36,-44,7,7.340727094545455e-05
-32,-44,7,7.068001833636363e-05
-28,-44,7,6.840570712727272e-05
-24,-44,7,6.623668357727273e-05
-20,-44,7,6.414288402272726e-05
-16,-44,7,6.236651144999999e-05
-12,-44,7,6.050618972727272e-05
-8,-44,7,5.891372541363636e-05
-4,-44,7,5.763978491181818e-05
0,-44,7,5.6304630243636354e-05
4,-44,7,5.4889221702727265e-05
8,-44,7,5.3560090989999995e-05
12,-44,7,5.24055498590909e-05
16,-44,7,5.11699129390909e-05
20,-44,7,4.9909628386363634e-05
24,-44,7,5.1075448699999995e-05
28,-44,7,5.055995502727272e-05
32,-44,7,4.922800816590908e-05
36,-44,7,4.637244338227273e-05
40,-44,7,4.554038311272726e-05
-60,-40,7,0.00010107269069545455
-56,-40,7,9.640222167727272e-05
-52,-40,7,9.20522777272727e-05
-48,-40,7,8.80444695090909e-05
-44,-40,7,8.433326403181817e-05
-40,-40,7,8.095837797727271e-05
-36,-40,7,7.800334802272727e-05
-32,-40,7,7.479225957727272e-05
-28,-40,7,7.266056124545454e-05
-24,-40,7,6.983486107727273e-05
-20,-40,7,6.768676749090908e-05
-16,-40,7,6.575840632272727e-05
-12,-40,7,6.364000827727271e-05
-8,-40,7,6.197649269090908e-05
-4,-40,7,6.029865701818182e-05
0,-40,7,5.883998631363635e-05
4,-40,7,5.742292370727272e-05
8,-40,7,5.605607276272726e-05
12,-40,7,5.4784817171818185e-05
16,-40,7,5.341132513454545e-05
20,-40,7,5.351336499454545e-05
24,-40,7,5.2750010589999995e-05
28,-40,7,5.0303440164545453e-05
32,-40,7,5.143794484090908e-05
36,-40,7,4.964588799636363e-05
40,-40,7,4.851329709727272e-05
-60,-36,7,0.00010885061628636363
-56,-36,7,0.00010328545152272727
-52,-36,7,9.878275602727272e-05
-48,-36,7,9.468838910909092e-05
-44,-36,7,9.020190301818182e-05
-40,-36,7,8.652412290454544e-05
-36,-36,7,8.283435923181816e-05
-32,-36,7,7.968627906363636e-05
-28,-36,7,7.71443146e-05
-24,-36,7,7.398267787272727e-05
-20,-36,7,7.147654666363636e-05
-16,-36,7,6.924282577272726e-05
-12,-36,7,6.698393473181818e-05
-8,-36,7,6.512504648636362e-05
-4,-36,7,6.326737745e-05
0,-36,7,6.165323286818181e-05
4,-36,7,6.0025122745454536e-05
8,-36,7,5.8630380936363636e-05
12,-36,7,5.7300267005454534e-05
16,-36,7,5.583848139999999e-05
20,-36,7,5.592417950454544e-05
24,-36,7,5.470836693181818e-05
28,-36,7,5.247193639545454e-05
36,-36,7,5.125221126181818e-05
40,-36,7,5.0530072794999994e-05
-60,-32,7,0.00011763159372727271
-56,-32,7,0.0001119026486090909
-52,-32,7,0.00010691447930909091
-48,-32,7,0.00010176290559090908
-44,-32,7,9.701758387272726e-05
-40,-32,7,9.320982093181818e-05
-36,-32,7,8.897108881818181e-05
-32,-32,7,8.49344119e-05
-28,-32,7,8.182682554545455e-05
-24,-32,7,7.860996430454544e-05
-20,-32,7,7.591619238636363e-05
-16,-32,7,7.297012157272727e-05
-12,-32,7,7.069797155e-05
-8,-32,7,6.864308956818181e-05
-4,-32,7,6.660988581363636e-05
0,-32,7,6.493555849545454e-05
4,-32,7,6.300217299545454e-05
8,-32,7,6.144736182272727e-05
12,-32,7,6.018281674999999e-05
16,-32,7,5.8403964813636356e-05
20,-32,7,5.833289767727273e-05
24,-32,7,5.670454087727272e-05
28,-32,7,5.4767903118181814e-05
32,-32,7,5.350585413909091e-05
36,-32,7,5.324165546727272e-05
40,-32,7,5.2868022573636356e-05
-60,-28,7,0.00012647194514545454
-56,-28,7,0.00012056552702727274
-52,-28,7,0.00011531740171363635
-48,-28,7,0.00010963598673181818
-44,-28,7,0.00010487820464999998
-40,-28,7,0.0001000739988409091
-36,-28,7,9.519883334545454e-05
-32,-28,7,9.137607132272727e-05
-28,-28,7,8.750234333636363e-05
-24,-28,7,8.385315188181817e-05
-20,-28,7,8.092296278181819e-05
-16,-28,7,7.757926007272728e-05
-12,-28,7,7.521891720454545e-05
-8,-28,7,7.257630813636362e-05
-4,-28,7,7.021437899545454e-05
0,-28,7,6.824903925000001e-05
4,-28,7,6.617475278181818e-05
8,-28,7,6.451360514545454e-05
12,-28,7,6.29636546181818e-05
16,-28,7,6.121583824545454e-05
20,-28,7,6.048225718181819e-05
24,-28,7,5.942671597272727e-05
28,-28,7,5.793221782727272e-05
32,-28,7,5.685271573181818e-05
36,-28,7,5.616675320909089e-05
40,-28,7,5.528345069545454e-05
-60,-24,7,0.00013320662972727274
-56,-24,7,0.00012926529878181815
-52,-24,7,0.00012458344112727273
-48,-24,7,0.0001185328079090909
-44,-24,7,0.00011333201695909089
-40,-24,7,0.00010755475617272727
-36,-24,7,0.00010308543361363634
-32,-24,7,9.851958117272728e-05
-28,-24,7,9.40401182181818e-05
-24,-24,7,8.975554806363634e-05
-20,-24,7,8.60800903181818e-05
-16,-24,7,8.281067957727273e-05
-12,-24,7,7.990665836363636e-05
-8,-24,7,7.692814896363635e-05
-4,-24,7,7.444093864090908e-05
0,-24,7,7.198470754545454e-05
4,-24,7,7.003358470454544e-05
8,-24,7,6.796028892272726e-05
12,-24,7,6.602990686363635e-05
16,-24,7,6.43112159e-05
20,-24,7,6.265738549090908e-05
24,-24,7,6.161102624545453e-05
28,-24,7,6.064592103636363e-05
32,-24,7,5.993713198636364e-05
36,-24,7,5.941849552272727e-05
40,-24,7,5.7972140954545446e-05
-60,-20,7,0.00013518051789090908
-56,-20,7,0.0001351038272181818
-52,-20,7,0.00013168250908181817
-48,-20,7,0.00012734703549999998
-44,-20,7,0.00012243019121363635
-40,-20,7,0.00011626388356363634
-36,-20,7,0.00011171915706363635
-32,-20,7,0.00010597341466818181
-28,-20,7,0.00010132879808181818
-24,-20,7,9.720490968181818e-05
-20,-20,7,9.253887843636362e-05
-16,-20,7,8.884470212272726e-05
-12,-20,7,8.521540408636363e-05
-8,-20,7,8.214462449999999e-05
-4,-20,7,7.942839309090909e-05
0,-20,7,7.636668355454545e-05
4,-20,7,7.41758349590909e-05
8,-20,7,7.174693171818181e-05
12,-20,7,6.976930504545454e-05
16,-20,7,6.786223354999999e-05
20,-20,7,6.57969603181818e-05
24,-20,7,6.40531394681818e-05
28,-20,7,6.35960837090909e-05
32,-20,7,6.168375537272727e-05
36,-20,7,5.9919035186363636e-05
40,-20,7,5.856170555909089e-05
-60,-16,7,0.00012229734381363636
