Type [-],Emissions [µg/s]
LV_D,0.3123429212399111
LV_P,0.11761771872708152
LCV_D,0.11157717761412413
LCV_P,0.01367474258759685
B_D,0.0027903134494952613
HDT_1420_D,0.025297779595053516
HDT_32_D,0.08961631812333606
L_P,0.019330621296296292
All,0.6922475926328948
