Type [-],Emissions [µg/s]
LV_D,0.11757660402583707
LV_P,0.004890639644859326
LCV_D,0.05246746853940191
LCV_P,0.0004966822178746299
B_D,0.0015342636809767428
HDT_1420_D,0.006788094790284998
HDT_32_D,0.028066109752178676
L_P,0.0049012731481481485
All,0.21672113579956145
