Type [-],Tyre emissions [µg/s],Brake emissions [µg/s],Road emissions [µg/s]
LV_D,0.04928228556299999,0.03393851330277778,0.02110409625
LV_P,0.028523659436999995,0.019642972808333332,0.01221465375
LCV_D,0.014956700952374998,0.010300013248958333,0.0064048907812499995
LCV_P,0.0033344827976249996,0.0022963096677083334,0.0014279217187499998
B_D,0.0003225765277777778,0.0002404684027777778,0.00010312499999999999
HDT_1420_D,0.003627368324999999,0.0034625943868749997,0.0024985
HDT_32_D,0.016941511124999992,0.009703163738125,0.007001500000000002
L_P,0.0028613632638888886,0.0030115086805555555,0.0014981250000000003
All,0.11984994799166664,0.08259554423611112,0.05225281250000001
