Type [-],Emissions [µg/s]
LV_D,0.22190149914161483
LV_P,0.06527192564019266
LCV_D,0.08412907352198525
LCV_P,0.007555396401957963
B_D,0.0022004336115322982
HDT_1420_D,0.016376557502159998
HDT_32_D,0.06171228461530367
L_P,0.012272270092592592
All,0.4714194405273393
