x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
1561,-60,-60,12,0.00010618586363636362,6.259645454545453e-05,6.465986363636363e-05,9.266263636363636e-05,0.00011479759090909091,0.00015062636363636362,0.0001819381818181818,0.00016465454545454544
1562,-56,-60,12,0.00010158290909090907,5.800677272727272e-05,6.307454545454545e-05,9.055745454545452e-05,0.00011190752727272727,0.00014538590909090907,0.00017578909090909086,0.00015664999999999999
1563,-52,-60,12,9.809913636363638e-05,5.341513636363636e-05,6.024231818181818e-05,8.862504545454544e-05,0.00011068156363636361,0.0001426,0.00017178954545454543,0.00014948090909090906
1564,-48,-60,12,9.525240909090907e-05,4.943077272727272e-05,5.763636363636363e-05,8.547827272727274e-05,0.00010958413636363634,0.00013855045454545453,0.00016809863636363636,0.00014315454545454543
1565,-44,-60,12,9.225940909090908e-05,4.550831818181818e-05,5.640763636363636e-05,8.38890909090909e-05,0.00010841781818181817,0.0001350352727272727,0.00016273954545454545,0.0001376231818181818
1566,-40,-60,12,8.89921818181818e-05,4.211559090909091e-05,5.437372727272726e-05,8.2426e-05,0.00010610847272727271,0.0001333496818181818,0.00015936954545454543,0.00013278445454545455
1567,-36,-60,12,8.621849999999999e-05,3.766027272727273e-05,5.2204863636363627e-05,8.10714090909091e-05,0.00010506463636363637,0.0001305106818181818,0.00015485454545454544,0.0001285020909090909
1568,-32,-60,12,8.44475e-05,3.4903590909090906e-05,5.121795454545454e-05,7.870413636363636e-05,0.0001030227818181818,0.0001283971818181818,0.00015162090909090907,0.00012463536363636362
1569,-28,-60,12,8.309927272727272e-05,3.2363499999999996e-05,4.927777272727273e-05,7.761318181818182e-05,0.00010209117272727272,0.0001272646818181818,0.00014839318181818182,0.00012107340909090907
1570,-24,-60,12,8.144545454545454e-05,2.9886363636363633e-05,4.747022727272727e-05,7.662840909090908e-05,0.00010033557272727272,0.0001251439545454545,0.00014395090909090908,0.0001177565909090909
1571,-20,-60,12,8.054072727272727e-05,2.7709454545454544e-05,4.669049999999999e-05,7.478818181818181e-05,9.958914545454545e-05,0.0001243091818181818,0.00014110590909090906,0.00011467277272727271
1572,-16,-60,12,7.925231818181818e-05,2.554936363636363e-05,4.508822727272727e-05,7.450518181818181e-05,9.825681818181816e-05,0.00012273449999999997,0.00013784363636363636,0.00011180872727272725
1573,-12,-60,12,7.833568181818182e-05,2.4123227272727272e-05,4.442681818181818e-05,7.6224e-05,0.00010195273636363636,0.00012769099999999998,0.00014279772727272727,0.00011436299999999999
1574,-8,-60,12,8.060904545454544e-05,2.2072909090909086e-05,4.306777272727272e-05,7.480795454545454e-05,0.00010077706363636364,0.00012706240909090907,0.00014059727272727271,0.00011138163636363636
1575,-4,-60,12,7.52216818181818e-05,1.961522727272727e-05,4.174609090909091e-05,7.189731818181818e-05,9.59890090909091e-05,0.00011932168181818181,0.00013075622727272724,0.00010331668181818181
1576,0,-60,12,7.363340909090907e-05,1.7687045454545454e-05,4.059977272727273e-05,7.103995454545454e-05,9.41620090909091e-05,0.00011716549999999999,0.0001289059090909091,9.92568181818182e-05
1577,4,-60,12,7.171990909090909e-05,1.584313636363636e-05,3.9343454545454545e-05,6.929781818181818e-05,9.288785454545453e-05,0.0001161065909090909,0.00012597495454545453,9.64625e-05
1578,8,-60,12,7.315531818181817e-05,1.4547136363636362e-05,3.957440909090909e-05,7.03625909090909e-05,9.4164e-05,0.00011897404545454544,0.0001311839090909091,9.893395454545453e-05
1579,12,-60,12,7.070299999999999e-05,1.264716818181818e-05,3.8398181818181815e-05,6.9379e-05,9.316805454545455e-05,0.00011906931818181817,0.00013081718181818183,9.540468181818181e-05
1580,16,-60,12,6.583122727272726e-05,1.107336818181818e-05,3.6411909090909086e-05,6.658e-05,8.848325454545454e-05,0.00011308159090909089,0.00012258463636363636,8.647736363636363e-05
1581,20,-60,12,6.438990909090909e-05,9.773413636363635e-06,3.589618181818182e-05,6.50335e-05,8.845063636363634e-05,0.00011250840909090908,0.00012072118181818183,8.259736363636364e-05
