x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
521,-60,-60,5,0.00013753909090909088,6.47864090909091e-05,7.175286363636362e-05,0.00010873895454545453,0.00013789363636363636,0.00019833727272727274,0.00023237045454545453,0.00020499181818181818
522,-56,-60,5,0.00013201277272727272,6.006163636363636e-05,7.009699999999999e-05,0.00010653995454545454,0.00013508874545454545,0.0001923331818181818,0.00022506409090909085,0.0001963322727272727
523,-52,-60,5,0.00012797090909090906,5.54190909090909e-05,6.70570909090909e-05,0.0001044775909090909,0.00013400116363636362,0.0001890863636363636,0.00022025863636363635,0.00018841090909090907
524,-48,-60,5,0.00012460072727272725,5.1374818181818174e-05,6.423159090909091e-05,0.00010096622727272727,0.00013316258181818183,0.00018397409090909088,0.00021590863636363635,0.0001812363636363636
525,-44,-60,5,0.00012109972727272724,4.743777272727272e-05,6.289527272727272e-05,9.92024090909091e-05,0.00013212659999999998,0.00017925590909090907,0.00020955136363636363,0.0001747659090909091
526,-40,-60,5,0.00011699054545454544,4.400386363636363e-05,6.065736363636363e-05,9.753922727272727e-05,0.00012977405454545453,0.00017671954545454542,0.0002056063636363636,0.00016891636363636366
527,-36,-60,5,0.00011328504545454545,3.9541863636363636e-05,5.824736363636363e-05,9.596595454545453e-05,0.00012880581818181818,0.00017253499999999997,0.0002001163636363636,0.000163575
528,-32,-60,5,0.00011072004545454543,3.6748e-05,5.712363636363636e-05,9.314540909090909e-05,0.0001266244909090909,0.00016899045454545455,0.0001962481818181818,0.0001586331818181818
529,-28,-60,5,0.00010854545454545454,3.4199818181818184e-05,5.491872727272727e-05,9.177545454545455e-05,0.00012568322727272725,0.00016685363636363633,0.0001923081818181818,0.00015400181818181816
530,-24,-60,5,0.00010559727272727273,3.1783409090909094e-05,5.283022727272728e-05,9.046831818181818e-05,0.00012363692727272726,0.00016329863636363635,0.00018657818181818184,0.00014963363636363636
531,-20,-60,5,0.00010348986363636362,2.9707409090909086e-05,5.1834272727272724e-05,8.807081818181817e-05,0.00012271489090909092,0.0001613981818181818,0.00018269590909090908,0.0001455559090909091
532,-16,-60,5,0.00010088290909090908,2.7736272727272728e-05,4.985481818181818e-05,8.747472727272725e-05,0.00012084569999999997,0.00015835909090909092,0.00017809090909090908,0.00014185363636363637
533,-12,-60,5,9.929913636363636e-05,2.5921818181818183e-05,4.7877636363636356e-05,8.632081818181817e-05,0.00012006373636363637,0.00015585818181818178,0.00017492727272727272,0.0001387140909090909
534,-8,-60,5,9.612313636363635e-05,2.1757272727272723e-05,4.596859090909091e-05,8.515318181818181e-05,0.0001204353,0.00015827863636363635,0.0001745659090909091,0.00013806318181818183
538,8,-60,5,9.020459090909091e-05,1.8343818181818178e-05,4.329240909090909e-05,7.81225e-05,0.00011374527272727272,0.00015100499999999998,0.00016849545454545453,0.00012833504545454544
539,12,-60,5,8.541799999999999e-05,1.5815636363636364e-05,4.211272727272727e-05,7.738990909090908e-05,0.00011115924545454545,0.0001469631818181818,0.00016175,0.00012064586363636364
540,16,-60,5,8.249168181818181e-05,1.345117727272727e-05,4.1234454545454544e-05,7.732277272727273e-05,0.00011131977272727274,0.00014576863636363635,0.00015867181818181818,0.00011647749999999998
541,20,-60,5,8.079099999999999e-05,1.1213045454545454e-05,4.077918181818182e-05,7.625754545454545e-05,0.0001119368727272727,0.00014471045454545454,0.00015656818181818182,0.00011296504545454544
542,24,-60,5,8.032554545454545e-05,9.060854545454545e-06,3.986913636363636e-05,7.648068181818181e-05,0.00011144740909090906,0.00014476500000000001,0.00015312454545454544,0.00011117090909090907
543,28,-60,5,7.78970909090909e-05,6.581036363636364e-06,3.896386363636363e-05,7.689263636363636e-05,0.00011154992727272728,0.00014394136363636364,0.00015064863636363637,0.00011318845454545455
544,32,-60,5,7.353113636363635e-05,5.302877272727274e-06,3.876377272727273e-05,7.614959090909091e-05,0.00011092232727272726,0.00014286136363636363,0.00014644999999999998,0.00011641190909090907
545,36,-60,5,6.801545454545454e-05,4.56775e-06,3.8014045454545454e-05,7.65595909090909e-05,0.0001109629909090909,0.0001420240909090909,0.00013987454545454545,0.00011607272727272727
546,40,-60,5,6.341286363636363e-05,3.8221318181818175e-06,3.737831818181818e-05,7.70915e-05,0.00011046340909090907,0.00013908545454545453,0.00013526981818181818,0.0001130644090909091
547,-60,-56,5,0.00014475,7.204181818181818e-05,7.795090909090908e-05,0.00011623418181818182,0.00014939454545454548,0.0002068840909090909,0.00024320863636363637,0.00021420272727272726
548,-56,-56,5,0.00014047363636363635,6.473786363636364e-05,7.607004545454545e-05,0.00011372604545454546,0.00014592572727272727,0.0002008822727272727,0.00023459727272727272,0.00020487590909090906
549,-52,-56,5,0.00013591636363636365,5.9666318181818174e-05,7.311786363636363e-05,0.00011240281818181818,0.0001444082727272727,0.00019739909090909087,0.00022956272727272725,0.00019634545454545448
550,-48,-56,5,0.00013047636363636364,5.5259999999999996e-05,6.994181818181817e-05,0.00010840518181818181,0.0001412980909090909,0.00019181499999999997,0.00022279772727272723,0.00018862500000000002
551,-44,-56,5,0.00012553213636363634,5.096386363636362e-05,6.84060909090909e-05,0.00010634268181818183,0.00013991890909090908,0.0001888,0.00021838272727272727,0.0001816690909090909
552,-40,-56,5,0.00012206004545454542,4.723086363636363e-05,6.555845454545454e-05,0.000104393,0.00013708063636363633,0.00018385636363636362,0.00021406227272727273,0.00017538954545454543
553,-36,-56,5,0.00011918622727272728,4.361327272727272e-05,6.289686363636364e-05,0.00010104404545454545,0.00013578081818181814,0.00017923454545454545,0.00020752772727272725,0.00016966499999999997
554,-32,-56,5,0.0001153755909090909,4.0469409090909085e-05,6.162731818181817e-05,9.93475909090909e-05,0.00013314354545454545,0.00017670954545454545,0.00020324999999999998,0.00016436863636363637
555,-28,-56,5,0.00011274145454545455,3.759222727272727e-05,5.919890909090908e-05,9.773890909090907e-05,0.00013188351818181818,0.00017251863636363632,0.000197475,0.00015940090909090908
556,-24,-56,5,0.00010948327272727271,3.484113636363636e-05,5.6886727272727275e-05,9.619581818181819e-05,0.00012939981818181818,0.00016858636363636364,0.00019316863636363636,0.00015468954545454545
557,-20,-56,5,0.00010641940909090908,3.249759090909091e-05,5.4668272727272724e-05,9.343754545454544e-05,0.0001281547909090909,0.00016644045454545454,0.00018886227272727269,0.00015023045454545453
558,-16,-56,5,0.0001050606818181818,3.0263272727272726e-05,5.3524318181818185e-05,9.201499999999998e-05,0.00012581233636363635,0.00016327863636363634,0.00018305318181818182,0.0001460631818181818
559,-12,-56,5,0.00010211272727272726,2.8346545454545452e-05,5.160345454545454e-05,9.058977272727274e-05,0.00012462389999999998,0.00016019090909090907,0.0001793413636363636,0.00014227
560,-8,-56,5,9.984240909090908e-05,2.5662863636363636e-05,4.933481818181817e-05,8.833740909090908e-05,0.00012284064545454543,0.00015871772727272726,0.0001748509090909091,0.00013896727272727272
561,-4,-56,5,9.925963636363635e-05,2.3544454545454543e-05,4.7856090909090914e-05,8.87011818181818e-05,0.0001240847727272727,0.00015894545454545454,0.00017536681818181816,0.00013837545454545454
