Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I4_C50_PM,0.04,0.5,11,76,0.000365669,0.103696776,-0.514315489,-4.937008235,0.001252368,0.193367205,-2.05482545,0
BUS_DIESEL_EURO2_I4_C50_PM,0.04,0.5,11,80,0.000283124,0.06819873,0.006183962,-2.944078051,0.003998019,0.162508488,-1.265741199,0
BUS_DIESEL_EURO3_I4_C50_PM,0.04,0.5,11,81,-4.23014E-06,0.00680414,0.544387803,2.038282222,-0.000314926,0.094047526,0.953130622,0
BUS_DIESEL_EURO4_I4_C50_PM,0.04,0.5,11,83,-0.000565956,0.153582337,1.067885957,-0.927507457,0.025894712,1.406435711,1.565693437,0
BUS_DIESEL_EURO5_I4_C50_PM,0.04,0.5,10,80,-0.000473934,0.028525346,1.620917746,-0.636787271,-0.009166603,1.045448109,0.986663244,0
BUS_DIESEL_EURO6_I4_C50_PM,0.04,0.5,10,85,9.05167E-05,0.001160306,-0.053552461,0.724783391,0.030714975,-0.748748303,7.355017094,0
