Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
VUL_ESSENCE_EURO1_NOx,,,10,120,0.000271082,-0.032314414,2.391266624,-1.38617E-09,-1.0926E-13,1.55302E-11,3.590490426,0
VUL_ESSENCE_EURO2_NOx,,,10,120,7.77254E-05,-0.009265278,0.685630594,-2.88768E-14,-5.84067E-17,3.19319E-15,3.027868726,0
VUL_ESSENCE_EURO3_NOx,,,10,120,0.000109328,-0.01303251,0.964405746,-1.21852E-10,-2.4422E-13,1.46453E-11,6.895507977,0
VUL_ESSENCE_EURO4_NOx,,,10,120,3.97387E-05,-0.004737067,0.350542982,-3.37071E-12,-4.21479E-15,4.45401E-13,5.263408132,0
VUL_ESSENCE_EURO5_NOx,,,5,120,0.000158705,0.054618642,-0.128094578,-0.122251104,0.044450918,1.318843564,-4.085327116,0
VUL_ESSENCE_EURO6_NOx,,,5,120,0.000158705,0.054618642,-0.128094578,-0.122251104,0.044450918,1.318843564,-4.085327116,0
