Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I-2_C50_PM,-0.02,0.5,12,86,1.74942E-05,0.002532014,0.696923685,5.78140815,-0.000114061,0.100512085,0.598329828,0
PL1420_DIESEL_EURO2_I-2_C50_PM,-0.02,0.5,12,86,0.00026797,-0.017604049,0.692871762,3.847238077,0.003887213,-0.118804872,5.059341098,0
PL1420_DIESEL_EURO3_I-2_C50_PM,-0.02,0.5,12,86,-2.85274E-06,0.001551935,0.528520639,3.559890705,-0.000296034,0.119926343,0.964998136,0
PL1420_DIESEL_EURO4_I-2_C50_PM,-0.02,0.5,12,86,-2.87659E-06,0.004499211,0.384571343,-0.069104321,0.007855308,0.431515045,2.516606294,0
PL1420_DIESEL_EURO5_I-2_C50_PM,-0.02,0.5,10,85,-0.000268671,0.276263038,-1.124004044,1.828682403,0.348885485,-1.475887227,3.534518278,0
PL1420_DIESEL_EURO6_I-2_C50_PM,-0.02,0.5,10,85,4.98011E-06,-0.001074764,0.055116951,0.55326099,-0.006003057,0.490663133,5.709171707,0
