Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I-6_C100_PM,-0.06,1,12,86,-1.21994E-05,0.006112412,2.690918251,-0.583590042,0.005059045,0.153196885,0.847190446,0
PL32_DIESEL_EURO2_I-6_C100_PM,-0.06,1,12,86,-2.67295E-05,0.013673754,1.484733521,-6.105113111,0.007935833,0.169167845,1.059323673,0
PL32_DIESEL_EURO3_I-6_C100_PM,-0.06,1,12,86,-2.28998E-05,0.034557313,1.9420034,-4.752052126,0.007429269,0.267052936,0.378813361,0
PL32_DIESEL_EURO4_I-6_C100_PM,-0.06,1,12,86,5.19531E-06,-0.001839923,0.189055606,1.242816403,-0.000848945,0.240608505,2.865143714,0
PL32_DIESEL_EURO5_I-6_C100_PM,-0.06,1,10,80,-0.002377776,0.206723357,-1.004034467,1.481030231,0.20505175,-1.21564773,2.44868943,0
PL32_DIESEL_EURO6_I-6_C100_PM,-0.06,1,10,65,-2.76548E-05,0.002487459,-0.04335418,0.226718251,0.023271433,-0.471005006,2.526913642,0
