Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I6_C50_NOx,0.06,0.5,12,54,0.142515835,-0.941507423,-6.344537508,1.43852583,0.004619979,-0.050474282,0.013020789,0
PL32_DIESEL_EURO2_I6_C50_NOx,0.06,0.5,12,56,0.00526467,-0.195816827,1.566850946,12.88220982,0.000171116,-0.00716268,0.085172339,0
PL32_DIESEL_EURO3_I6_C50_NOx,0.06,0.5,12,57,0.00921595,-0.261546259,1.375703743,17.22829186,0.000397132,-0.013454998,0.133040143,0
PL32_DIESEL_EURO4_I6_C50_NOx,0.06,0.5,12,59,-0.002544734,1.06714886,36.96467111,45.6081512,-0.000339795,0.086975825,1.245173795,0
PL32_DIESEL_EURO5_I6_C50_NOx,0.06,0.5,5,60,0.010296915,-0.158392363,3.326987861,-1.199510541,0.001404214,0.001477765,0.020122753,0
PL32_DIESEL_EURO6_I6_C50_NOx,0.06,0.5,5,60,0.04958317,-0.649155606,5.9390156,-14.31753343,0.059640874,-0.258788079,0.20724072,0
