Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I2_C0_NOx,0.02,0,12,86,4.95E-04,0.222177584,12.81907321,40.64718934,-0.000133668,0.040264185,0.520901772,0
PL32_DIESEL_EURO2_I2_C0_NOx,0.02,0,12,86,4.22E-04,0.111229802,4.249557219,50.67660316,2.94544E-05,0.010505891,0.327766059,0
PL32_DIESEL_EURO3_I2_C0_NOx,0.02,0,12,86,0.001191772,0.148751068,2.847436975,19.8377757,0.00013195,0.018320785,0.118485956,0
PL32_DIESEL_EURO4_I2_C0_NOx,0.02,0,12,86,8.69515E-06,0.014613605,0.846334595,12.10942354,-8.61715E-08,0.002030993,0.156077563,0
PL32_DIESEL_EURO5_I2_C0_NOx,0.02,0,5,85,1.59E-04,-0.018379712,0.630561155,3.270393821,9.70746E-06,0.000209683,0.034004992,0
PL32_DIESEL_EURO6_I2_C0_NOx,0.02,0,5,85,-0.00020184,0.062257867,-0.461367653,2.369841551,0.003271175,-0.01953781,0.052731339,0
