Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I-2_C100_PM,-0.02,1,12,86,1.69563E-06,0.053122078,2.45377115,0.364496425,0.00596898,0.289742585,0.389571705,0
PL1420_DIESEL_EURO2_I-2_C100_PM,-0.02,1,12,86,0.000373922,-0.021266873,1.15674221,5.52893258,0.006279173,-0.150809787,7.36442634,0
PL1420_DIESEL_EURO3_I-2_C100_PM,-0.02,1,12,86,1.00172E-05,0.057484432,2.602246086,-2.037372098,0.010105337,0.548082205,1.032560143,0
PL1420_DIESEL_EURO4_I-2_C100_PM,-0.02,1,12,86,1.11956E-05,-0.003331415,0.262145794,1.014482141,-0.001159228,0.174198007,4.108525953,0
PL1420_DIESEL_EURO5_I-2_C100_PM,-0.02,1,10,85,-0.002758236,0.701673369,-1.201793254,-0.986319846,0.760081259,-0.651618988,1.380995175,0
PL1420_DIESEL_EURO6_I-2_C100_PM,-0.02,1,10,85,-0.000903191,0.150280491,0.244778091,-1.382091419,1.46886517,0.18013406,0.494972086,0
