Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
VL_DIESEL_EURO1_NOx,NA,NA,10,120,0.000436129,-0.006386918,3.199254481,5.43E-12,-0.000519841,0.145919642,1.03348181,0
VL_DIESEL_EURO2_NOx,NA,NA,10,120,0.000129115,-0.012481156,2.580260924,3.96E-11,-0.000537981,0.082526262,1.075961693,0
VL_DIESEL_EURO3_NOx,NA,NA,10,120,-0.000769688,0.111214128,4.681975128,1.15E-09,-0.002377223,0.329466291,1.66239354,0
VL_DIESEL_EURO4_NOx,NA,NA,10,130,0.000562369,-0.076397361,4.198823205,6.25E-10,4.61E-15,-2.03E-12,3.789551629,0
VL_DIESEL_EURO5_NOx,NA,NA,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0
VL_DIESEL_EURO6_NOx,NA,NA,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.370710835
