Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I-6_C0_NOx,-0.06,0,11,86,-0.000898206,0.050682485,4.039302251,0.835877994,0.000790451,0.037131718,0.052984892,0
BUS_DIESEL_EURO2_I-6_C0_NOx,-0.06,0,11,86,-0.000486863,0.021054089,3.259167856,-2.202446863,0.000449059,0.025189466,0.023827037,0
BUS_DIESEL_EURO3_I-6_C0_NOx,-0.06,0,11,86,-0.000785097,0.044903818,3.123207269,-7.611507378,0.000722131,0.021751673,-0.043687739,0
BUS_DIESEL_EURO4_I-6_C0_NOx,-0.06,0,11,83,-0.000686093,0.027413798,2.49561311,1.069477797,0.000853983,0.045915851,0.176610498,0
BUS_DIESEL_EURO5_I-6_C0_NOx,-0.06,0,5,80,-0.002571049,0.234612302,-1.573880418,4.161563719,0.002513926,-0.018733477,0.055235364,0
BUS_DIESEL_EURO6_I-6_C0_NOx,-0.06,0,5,80,-0.006541474,0.5111922,1.856681205,2.776559772,0.006347919,0.131355953,-3.58207E-14,0
