Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I4_C100_PM,0.04,1,12,54,-8.89619E-05,0.006203806,1.984089702,1.408727166,-0.000223061,0.031318114,1.092927205,0
PL32_DIESEL_EURO2_I4_C100_PM,0.04,1,12,57,0.000515299,-0.060512617,2.259548862,-1.413620858,0.000484241,-0.05277315,2.706198335,0
PL32_DIESEL_EURO3_I4_C100_PM,0.04,1,12,58,8.06631E-05,0.064532767,1.601296104,1.920736642,0.001408438,0.181905843,1.73770199,0
PL32_DIESEL_EURO4_I4_C100_PM,0.04,1,12,60,-0.000671263,0.167776874,1.689250516,0.262344938,0.018484313,1.232058104,4.766530464,0
PL32_DIESEL_EURO5_I4_C100_PM,0.04,1,10,60,-0.000926149,0.264266673,1.631434099,-1.17796231,0.037172187,1.329165118,0.603790333,0
PL32_DIESEL_EURO6_I4_C100_PM,0.04,1,10,60,4.95384E-05,-0.001706789,0.078777405,1.15682908,0.004841309,-0.104656254,8.186006549,0
