Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I-2_C50_NOx,-0.02,0.5,11,86,-0.00058918,0.122867145,6.185107517,9.60805427,0.00043503,0.036235968,0.229435809,0
BUS_DIESEL_EURO2_I-2_C50_NOx,-0.02,0.5,11,86,-0.000540933,0.126879153,6.345855479,10.28228345,0.000428513,0.034196967,0.202800905,0
BUS_DIESEL_EURO3_I-2_C50_NOx,-0.02,0.5,11,86,7.99908E-05,-0.037849344,2.699255418,24.19893789,-0.000162735,0.014259808,0.16864008,0
BUS_DIESEL_EURO4_I-2_C50_NOx,-0.02,0.5,11,86,-0.000320816,0.068396677,3.411002037,4.622682958,0.000444464,0.035648812,0.219097487,0
BUS_DIESEL_EURO5_I-2_C50_NOx,-0.02,0.5,5,85,-0.002568709,2.264209195,-3.620632749,5.519114356,0.013221253,0.020289984,3.28615E-14,0
BUS_DIESEL_EURO6_I-2_C50_NOx,-0.02,0.5,5,85,0.000558566,0.04341091,-0.583868073,2.719409843,0.00256136,-0.026108265,0.095537601,0
