x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
-60,-60,5,7.736573863636362e-05,3.239320454545455e-05,4.484553977272726e-05,6.796184659090908e-05,6.032846590909091e-05,7.93349090909091e-05,9.44004971590909e-05,8.199672727272728e-05
-56,-60,5,7.42571846590909e-05,3.003081818181818e-05,4.381062499999999e-05,6.658747159090908e-05,5.910132613636364e-05,7.693327272727274e-05,9.143228693181816e-05,7.853290909090908e-05
-52,-60,5,7.198363636363635e-05,2.770954545454545e-05,4.191068181818181e-05,6.529849431818182e-05,5.8625509090909086e-05,7.563454545454545e-05,8.948007102272727e-05,7.536436363636363e-05
-48,-60,5,7.008790909090907e-05,2.5687409090909087e-05,4.014474431818182e-05,6.310389204545455e-05,5.8258629545454555e-05,7.358963636363636e-05,8.771288352272727e-05,7.249454545454544e-05
-44,-60,5,6.811859659090908e-05,2.371888636363636e-05,3.930954545454545e-05,6.200150568181819e-05,5.780538749999999e-05,7.170236363636363e-05,8.513024147727273e-05,6.990636363636363e-05
-40,-60,5,6.580718181818181e-05,2.2001931818181814e-05,3.791085227272727e-05,6.096201704545454e-05,5.6776148863636356e-05,7.068781818181818e-05,8.352758522727272e-05,6.756654545454547e-05
-36,-60,5,6.372283806818181e-05,1.9770931818181818e-05,3.640460227272727e-05,5.997872159090908e-05,5.6352545454545455e-05,6.901399999999999e-05,8.129727272727271e-05,6.543e-05
-32,-60,5,6.22800255681818e-05,1.8374e-05,3.570227272727272e-05,5.821588068181818e-05,5.5398214772727266e-05,6.759618181818182e-05,7.972582386363636e-05,6.345327272727272e-05
-28,-60,5,6.105681818181817e-05,1.7099909090909092e-05,3.432420454545454e-05,5.735965909090909e-05,5.498641193181817e-05,6.674145454545453e-05,7.812519886363635e-05,6.160072727272726e-05
-24,-60,5,5.939846590909091e-05,1.5891704545454547e-05,3.301889204545455e-05,5.6542698863636356e-05,5.409115568181818e-05,6.531945454545454e-05,7.579738636363638e-05,5.9853454545454544e-05
-20,-60,5,5.8213048295454536e-05,1.4853704545454543e-05,3.2396420454545454e-05,5.504426136363636e-05,5.368776477272727e-05,6.455927272727272e-05,7.422021306818181e-05,5.822236363636364e-05
-16,-60,5,5.6746636363636355e-05,1.3868136363636364e-05,3.1159261363636365e-05,5.4671704545454535e-05,5.2869993749999985e-05,6.334363636363637e-05,7.23494318181818e-05,5.674145454545455e-05
-12,-60,5,5.5855764204545456e-05,1.2960909090909091e-05,2.9923522727272723e-05,5.3950511363636355e-05,5.252788465909091e-05,6.234327272727271e-05,7.106420454545454e-05,5.548563636363636e-05
-8,-60,5,5.406926420454545e-05,1.0878636363636362e-05,2.8730369318181818e-05,5.322073863636363e-05,5.269044375e-05,6.331145454545454e-05,7.091740056818183e-05,5.522527272727273e-05
8,-60,5,5.074008238636364e-05,9.171909090909089e-06,2.7057755681818182e-05,4.88265625e-05,4.976355681818182e-05,6.0401999999999995e-05,6.84512784090909e-05,5.133401818181818e-05
12,-60,5,4.804762499999999e-05,7.907818181818182e-06,2.6320454545454545e-05,4.8368693181818174e-05,4.8632169886363635e-05,5.8785272727272725e-05,6.57109375e-05,4.825834545454546e-05
16,-60,5,4.640157102272727e-05,6.725588636363635e-06,2.577153409090909e-05,4.832673295454546e-05,4.8702400568181823e-05,5.830745454545454e-05,6.446042613636364e-05,4.6590999999999995e-05
20,-60,5,4.5444937499999995e-05,5.606522727272727e-06,2.5486988636363638e-05,4.7660965909090905e-05,4.8972381818181806e-05,5.788418181818182e-05,6.360582386363637e-05,4.518601818181818e-05
24,-60,5,4.518311931818182e-05,4.530427272727272e-06,2.4918210227272725e-05,4.780042613636363e-05,4.875824147727272e-05,5.790600000000001e-05,6.220684659090909e-05,4.446836363636363e-05
28,-60,5,4.381711363636363e-05,3.290518181818182e-06,2.435241477272727e-05,4.805789772727272e-05,4.8803093181818185e-05,5.7576545454545455e-05,6.120100852272728e-05,4.5275381818181824e-05
32,-60,5,4.136126420454545e-05,2.651438636363637e-06,2.4227357954545454e-05,4.759349431818182e-05,4.852851818181818e-05,5.714454545454546e-05,5.949531249999999e-05,4.656476363636363e-05
36,-60,5,3.825869318181818e-05,2.283875e-06,2.375877840909091e-05,4.784974431818181e-05,4.854630852272727e-05,5.680963636363636e-05,5.682403409090909e-05,4.642909090909091e-05
40,-60,5,3.566973579545454e-05,1.9110659090909088e-06,2.3361448863636363e-05,4.8182187500000003e-05,4.832774147727272e-05,5.563418181818181e-05,5.4953363636363636e-05,4.5225763636363644e-05
-60,-56,5,8.142187499999999e-05,3.602090909090909e-05,4.871931818181817e-05,7.264636363636364e-05,6.536011363636365e-05,8.275363636363636e-05,9.880350852272727e-05,8.56810909090909e-05
-56,-56,5,7.901642045454545e-05,3.236893181818182e-05,4.75437784090909e-05,7.107877840909091e-05,6.384250568181819e-05,8.035290909090908e-05,9.530514204545454e-05,8.195036363636363e-05
-52,-56,5,7.645295454545455e-05,2.9833159090909087e-05,4.569866477272727e-05,7.025176136363636e-05,6.31786193181818e-05,7.895963636363635e-05,9.325985795454544e-05,7.853818181818179e-05
-48,-56,5,7.339295454545455e-05,2.7629999999999998e-05,4.371363636363635e-05,6.775323863636363e-05,6.181791477272727e-05,7.6726e-05,9.051157670454543e-05,7.545000000000002e-05
-44,-56,5,7.061182670454544e-05,2.548193181818181e-05,4.275380681818182e-05,6.646417613636365e-05,6.121452272727272e-05,7.552000000000001e-05,8.871798295454545e-05,7.266763636363636e-05
-40,-56,5,6.86587755681818e-05,2.3615431818181815e-05,4.097403409090908e-05,6.5245625e-05,5.9972778409090895e-05,7.354254545454546e-05,8.696279829545455e-05,7.015581818181818e-05
-36,-56,5,6.70422528409091e-05,2.180663636363636e-05,3.9310539772727276e-05,6.31525284090909e-05,5.940410795454544e-05,7.169381818181819e-05,8.430813920454544e-05,6.786599999999999e-05
