x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
-60,-60,7,7.364955681818181e-05,3.256772727272727e-05,4.409931818181818e-05,6.629272727272728e-05,5.887155511363636e-05,7.573727272727271e-05,9.054813920454545e-05,7.910490909090909e-05
-56,-60,7,7.051970454545455e-05,3.017877272727272e-05,4.303153409090909e-05,6.48375284090909e-05,5.749947954545455e-05,7.326254545454545e-05,8.752785511363636e-05,7.556199999999999e-05
-52,-60,7,6.822350284090909e-05,2.7816681818181815e-05,4.110732954545455e-05,6.348363636363635e-05,5.692926988636365e-05,7.193145454545455e-05,8.555514204545454e-05,7.234181818181817e-05
-48,-60,7,6.632197159090909e-05,2.576959090909091e-05,3.932863636363636e-05,6.124227272727273e-05,5.6444921590909086e-05,6.98750909090909e-05,8.377133522727271e-05,6.9448e-05
-44,-60,7,6.43484659090909e-05,2.3770113636363636e-05,3.8484232954545444e-05,6.0104232954545444e-05,5.5912488068181806e-05,6.800381818181817e-05,8.117539772727273e-05,6.686109090909089e-05
-40,-60,7,6.207903409090908e-05,2.203975e-05,3.708789772727273e-05,5.903883522727272e-05,5.479936875e-05,6.701763636363636e-05,7.956923295454545e-05,6.454381818181819e-05
-36,-60,7,6.007244318181818e-05,1.9782181818181816e-05,3.558948863636363e-05,5.803937499999999e-05,5.431418522727272e-05,6.539654545454546e-05,7.735350852272727e-05,6.24469090909091e-05
-32,-60,7,5.872517897727273e-05,1.838306818181818e-05,3.489323863636363e-05,5.628633522727273e-05,5.330398977272728e-05,6.40561818181818e-05,7.579794034090908e-05,6.052181818181819e-05
-28,-60,7,5.761475284090907e-05,1.7105136363636362e-05,3.353681818181818e-05,5.54369034090909e-05,5.285102215909091e-05,6.326654545454545e-05,7.422870738636362e-05,5.873109090909091e-05
-24,-60,7,5.6154426136363634e-05,1.587775e-05,3.226034090909091e-05,5.46409375e-05,5.193282102272726e-05,6.193927272727272e-05,7.197623579545455e-05,5.705781818181818e-05
-20,-60,7,5.519485227272726e-05,1.4818477272727271e-05,3.167011363636364e-05,5.3197187499999995e-05,5.152033806818182e-05,6.126836363636364e-05,7.049249999999998e-05,5.551145454545454e-05
-16,-60,7,5.397374147727272e-05,1.3795136363636363e-05,3.049622159090909e-05,5.287355113636364e-05,5.0735928409090906e-05,6.018181818181818e-05,6.873860795454545e-05,5.411458181818181e-05
-12,-60,7,5.3185499999999994e-05,1.2873454545454546e-05,2.9385568181818178e-05,5.227999999999999e-05,5.044009090909092e-05,5.9294363636363634e-05,6.756306818181816e-05,5.286996363636363e-05
-8,-60,7,5.357498011363636e-05,1.1505e-05,2.8661249999999996e-05,5.209553977272727e-05,5.081955852272726e-05,6.0621090909090905e-05,6.774144886363635e-05,5.346805454545454e-05
-4,-60,7,5.209616761363636e-05,1.0805840909090908e-05,2.8060340909090907e-05,5.1694289772727274e-05,5.039285284090907e-05,5.961327272727273e-05,6.692599431818181e-05,5.224883636363635e-05
0,-60,7,5.017860511363637e-05,9.715681818181818e-06,2.780017045454545e-05,5.103588068181818e-05,4.9709863636363644e-05,5.823309090909089e-05,6.525464488636363e-05,5.018503636363637e-05
4,-60,7,4.935436363636364e-05,8.96331818181818e-06,2.724534090909091e-05,5.037298295454545e-05,4.883526136363636e-05,5.693054545454545e-05,6.329134943181817e-05,4.931329090909091e-05
8,-60,7,4.855561363636364e-05,8.435818181818183e-06,2.661542613636363e-05,4.83334375e-05,4.826910852272727e-05,5.696236363636364e-05,6.451397727272726e-05,4.8509163636363634e-05
12,-60,7,4.5487329545454544e-05,7.176181818181818e-06,2.591394886363636e-05,4.7848863636363636e-05,4.632677556818182e-05,5.5339999999999995e-05,6.203105113636363e-05,4.5275090909090906e-05
16,-60,7,4.379635227272727e-05,6.293595454545454e-06,2.523715909090909e-05,4.705119318181818e-05,4.601497329545454e-05,5.506254545454546e-05,6.094414772727273e-05,4.351507272727273e-05
20,-60,7,4.2921639204545446e-05,5.4506772727272725e-06,2.483957386363636e-05,4.598380681818181e-05,4.6235556818181814e-05,5.474581818181817e-05,6.008936079545454e-05,4.186001818181818e-05
24,-60,7,4.271543181818182e-05,4.542670454545455e-06,2.4172073863636363e-05,4.583610795454545e-05,4.609437954545454e-05,5.479763636363637e-05,5.858863636363636e-05,4.0766545454545445e-05
28,-60,7,4.1451826704545444e-05,3.6477954545454543e-06,2.3529630681818176e-05,4.5926761363636356e-05,4.62138409090909e-05,5.443761818181818e-05,5.743747159090909e-05,4.112605454545454e-05
32,-60,7,3.93225596590909e-05,2.9522749999999996e-06,2.3308977272727272e-05,4.54528125e-05,4.600653750000001e-05,5.393134545454545e-05,5.559937499999999e-05,4.2170454545454544e-05
36,-60,7,3.683495454545455e-05,2.339490909090909e-06,2.2810397727272724e-05,4.5678011363636356e-05,4.604709374999999e-05,5.3522290909090904e-05,5.317899289772727e-05,4.238532727272727e-05
