Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I-6_C0_PM,-0.06,0,12,86,5.55676E-06,-0.002636862,0.401571291,3.418248484,0.000122709,0.036015825,0.309477698,0
PL32_DIESEL_EURO2_I-6_C0_PM,-0.06,0,12,86,-2.7491E-05,0.037562432,2.205912886,-5.434578454,0.015106625,0.527581842,0.579705694,0
PL32_DIESEL_EURO3_I-6_C0_PM,-0.06,0,12,86,-0.000151825,0.055367575,-0.05164421,-4.800181228,0.007875049,0.029197838,-1.066538998,0
PL32_DIESEL_EURO4_I-6_C0_PM,-0.06,0,12,86,2.3816E-06,-0.00126078,0.234178415,1.796655769,-0.000154342,0.359981767,3.013669502,0
PL32_DIESEL_EURO5_I-6_C0_PM,-0.06,0,10,80,-0.008897194,0.744902162,0.605359658,0.768721801,0.813813078,-0.0549019,0.225065318,0
PL32_DIESEL_EURO6_I-6_C0_PM,-0.06,0,10,65,-2.68052E-05,0.002471274,-0.045873673,0.260242915,0.01949,-0.427579864,2.542295476,0
