Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I6_C100_NOx,0.06,1,12,56,0.006485329,0.717905785,1.944340845,4.051792382,0.00028132,0.031978939,-0.023739614,0
PL1420_DIESEL_EURO2_I6_C100_NOx,0.06,1,12,61,0.008628612,1.074453118,2.380028232,-6.796450392,0.000453048,0.046213903,-0.11373957,0
PL1420_DIESEL_EURO3_I6_C100_NOx,0.06,1,12,62,0.04050211,5.144750005,18.26230863,-5.962191936,0.002814316,0.296237559,-0.612070903,0
PL1420_DIESEL_EURO4_I6_C100_NOx,0.06,1,12,62,0.028187805,3.083733783,-8.880136219,10.04897755,0.003206805,0.201210129,-0.928552545,0
PL1420_DIESEL_EURO5_I6_C100_NOx,0.06,1,5,60,0.033336867,-0.593802575,10.5424196,3.289462995,0.006229768,-0.009810674,0.170688453,0
PL1420_DIESEL_EURO6_I6_C100_NOx,0.06,1,5,65,0.009185846,-0.128362728,1.484115465,-3.976302943,0.017169372,-0.071312584,0.045745081,0
