Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I-4_C100_PM,-0.04,1,11,86,-3.69619E-05,0.028249394,2.161419609,-2.150368608,0.007065658,0.166677909,0.697766174,0
BUS_DIESEL_EURO2_I-4_C100_PM,-0.04,1,11,86,7.87216E-05,-0.025216124,1.696523485,-7.688695648,-0.003704569,0.328240351,0.201314645,0
BUS_DIESEL_EURO3_I-4_C100_PM,-0.04,1,11,86,0.000220935,0.015957693,-0.403319413,7.289960886,0.008871175,-0.250846499,3.273394814,0
BUS_DIESEL_EURO4_I-4_C100_PM,-0.04,1,11,86,8.91855E-06,-0.002544517,0.209883038,0.347647206,0.000263989,0.119683932,3.551580017,0
BUS_DIESEL_EURO5_I-4_C100_PM,-0.04,1,10,85,-0.004806376,0.505337023,-0.386275438,0.222861601,0.517737589,1.654818415,0.070875901,0
BUS_DIESEL_EURO6_I-4_C100_PM,-0.04,1,10,85,-0.001377971,0.127721227,-0.241035381,0.705365165,1.288199436,0.493078085,0.295941579,0
