Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I4_C50_NOx,0.04,0.5,12,70,0.00203111,0.483097222,4.462105024,7.647082777,8.45134E-05,0.020930127,0.073093474,0
PL32_DIESEL_EURO2_I4_C50_NOx,0.04,0.5,12,75,0.004319722,0.600129832,-1.104201359,-21.03137061,0.000241425,0.022127235,-0.160844855,0
PL32_DIESEL_EURO3_I4_C50_NOx,0.04,0.5,12,76,0.014894898,0.699077002,6.524254623,9.680324771,0.000947585,0.031775372,0.107208585,0
PL32_DIESEL_EURO4_I4_C50_NOx,0.04,0.5,12,75,-0.000622661,-0.020142739,6.617695671,28.75410432,-6.3903E-05,0.000764516,0.455314333,0
PL32_DIESEL_EURO5_I4_C50_NOx,0.04,0.5,5,75,0.005807342,-0.129851004,4.104335828,-0.095163547,0.001035964,0.005331972,0.035328401,0
PL32_DIESEL_EURO6_I4_C50_NOx,0.04,0.5,5,80,0.001661278,0.131093401,-1.496951721,5.990393065,0.009950792,-0.051661477,0.122070415,0
