Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
BUS_DIESEL_EURO1_I-4_C50_NOx,-0.04,0.5,11,86,-0.000957857,0.059728936,4.767537807,7.52655897,0.000464741,0.034761085,0.189833052,0
BUS_DIESEL_EURO2_I-4_C50_NOx,-0.04,0.5,11,86,-0.000868587,0.054822392,4.430092622,8.498539203,0.000381934,0.02945694,0.166444591,0
BUS_DIESEL_EURO3_I-4_C50_NOx,-0.04,0.5,11,86,3.93578E-05,-0.01226079,1.129716036,6.514965412,2.59011E-05,0.006133412,0.067179595,0
BUS_DIESEL_EURO4_I-4_C50_NOx,-0.04,0.5,11,86,-0.000777531,0.03812692,3.437297863,4.984679054,0.000490297,0.045480903,0.334981904,0
BUS_DIESEL_EURO5_I-4_C50_NOx,-0.04,0.5,5,85,-0.008230988,0.86639418,-1.847670524,2.745317381,0.006287412,0.00036664,0.006951527,0
BUS_DIESEL_EURO6_I-4_C50_NOx,-0.04,0.5,5,85,-7.83694E-05,0.040143541,-1.058456762,7.191381806,0.001165499,-0.032809459,0.231104588,0
