Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I-4_C50_PM,-0.04,0.5,12,86,6.96078E-06,-0.002619774,0.310840503,2.092056654,-2.06388E-05,0.033621534,0.349398008,0
PL1420_DIESEL_EURO2_I-4_C50_PM,-0.04,0.5,12,86,-3.56256E-05,0.03053656,2.061335187,-7.000930736,0.016478142,0.486604812,1.791985468,0
PL1420_DIESEL_EURO3_I-4_C50_PM,-0.04,0.5,12,86,1.49351E-16,-1.12204E-13,1.791469731,-4.11645E-12,0.000868977,0.353589619,1.031220516,0
PL1420_DIESEL_EURO4_I-4_C50_PM,-0.04,0.5,12,86,8.65408E-06,-0.002762488,0.256962339,1.332966235,-0.000902951,0.31306273,4.692769573,0
PL1420_DIESEL_EURO5_I-4_C50_PM,-0.04,0.5,10,85,-0.001722462,0.206755939,-1.052389348,1.889493596,0.315859305,-1.955236615,4.766947217,0
PL1420_DIESEL_EURO6_I-4_C50_PM,-0.04,0.5,10,80,-0.001726198,0.141318063,0.016042813,0.126222363,1.515548935,0.469446305,0.348650068,0
