Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL32_DIESEL_EURO1_I0_C100_NOx,0,1,12,86,0.001025631,0.521630397,15.0080257,11.01573369,0.000470838,0.048839252,0.383230341,0
PL32_DIESEL_EURO2_I0_C100_NOx,0,1,12,86,0.000764426,0.294604917,8.699858314,16.50515531,0.000272061,0.026627173,0.227584006,0
PL32_DIESEL_EURO3_I0_C100_NOx,0,1,12,86,0.001774007,0.400434544,8.938205543,14.95906062,0.000605484,0.038214894,0.240410737,0
PL32_DIESEL_EURO4_I0_C100_NOx,0,1,12,86,-0.000393383,0.021468787,1.312520714,-10.79583621,-0.000107727,0.010230443,-0.05642151,0
PL32_DIESEL_EURO5_I0_C100_NOx,0,1,5,85,-0.003100358,0.42959961,-1.450948984,2.339214128,0.001716905,-0.004735481,0.011473212,0
PL32_DIESEL_EURO6_I0_C100_NOx,0,1,5,85,-0.000515433,0.142404611,-1.336440804,4.885628036,0.008462762,-0.053277237,0.118794211,0
