Name,Pente (%),Charge (%),Vitesse min. (km/h),Vitesse max. (km/h),Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,RF
PL1420_DIESEL_EURO1_I0_C0_PM,0,0,12,86,1.35299E-06,0.00233255,0.648359207,4.5457285,-0.000140742,0.07442884,0.576044905,0
PL1420_DIESEL_EURO2_I0_C0_PM,0,0,12,86,-1.58279E-17,8.73906E-16,3.096309926,-1.65065E-12,-0.008416952,1.032067144,2.838129319,0
PL1420_DIESEL_EURO3_I0_C0_PM,0,0,12,86,-3.99286E-06,0.00297124,0.929660295,6.248142621,-0.000479655,0.201190836,1.61214498,0
PL1420_DIESEL_EURO4_I0_C0_PM,0,0,12,86,3.3579E-15,-1.2533E-14,1.242338333,1.41671E-10,-0.01098791,1.561099511,5.311311723,0
PL1420_DIESEL_EURO5_I0_C0_PM,0,0,10,85,0.003386344,0.075016656,-0.185633334,1.045943745,0.173823237,-0.940891611,3.95917505,0
PL1420_DIESEL_EURO6_I0_C0_PM,0,0,10,85,0.001620318,0.167313432,0.026813771,0.12886362,1.501969659,0.468815819,0.358364552,0
